Chocolat,2000,2001,https://letterboxd.com/film/chocolat/,3.4,100880
"Crouching Tiger, Hidden Dragon",2000,2001,https://letterboxd.com/film/crouching-tiger-hidden-dragon/,4.1,239802
Erin Brockovich,2000,2001,https://letterboxd.com/film/erin-brockovich/,3.9,328150
Gladiator,2000,2001,https://letterboxd.com/film/gladiator-2000/,4.2,1775617
Traffic,2000,2001,https://letterboxd.com/film/traffic/,3.7,92030
A Beautiful Mind,2001,2002,https://letterboxd.com/film/a-beautiful-mind/,3.9,535313
Gosford Park,2001,2002,https://letterboxd.com/film/gosford-park/,3.7,86977
In the Bedroom,2001,2002,https://letterboxd.com/film/in-the-bedroom/,3.9,26501
The Lord of the Rings: The Fellowship of the Ring,2001,2002,https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/,4.4,2375172
Chicago,2002,2003,https://letterboxd.com/film/chicago/,4.0,417606
Gangs of New York,2002,2003,https://letterboxd.com/film/gangs-of-new-york-2002/,3.7,412156
The Hours,2002,2003,https://letterboxd.com/film/the-hours/,3.9,119766
The Lord of the Rings: The Two Towers,2002,2003,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/,4.4,1777216
The Pianist,2002,2003,https://letterboxd.com/film/the-pianist/,4.4,1053232
The Lord of the Rings: The Return of the King,2003,2004,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/,4.5,1823694
Lost in Translation,2003,2004,https://letterboxd.com/film/lost-in-translation/,3.8,1256206
Master and Commander: The Far Side of the World,2003,2004,https://letterboxd.com/film/master-and-commander-the-far-side-of-the-world/,4.0,165846
Mystic River,2003,2004,https://letterboxd.com/film/mystic-river/,3.9,426271
Seabiscuit,2003,2004,https://letterboxd.com/film/seabiscuit/,3.3,31609
The Aviator,2004,2005,https://letterboxd.com/film/the-aviator/,3.7,302347
Finding Neverland,2004,2005,https://letterboxd.com/film/finding-neverland/,3.5,81748
Million Dollar Baby,2004,2005,https://letterboxd.com/film/million-dollar-baby/,4.0,413032
Ray,2004,2005,https://letterboxd.com/film/ray-2004/,3.8,87322
Sideways,2004,2005,https://letterboxd.com/film/sideways/,3.8,166859
Brokeback Mountain,2005,2006,https://letterboxd.com/film/brokeback-mountain/,4.1,1299908
Capote,2005,2006,https://letterboxd.com/film/capote/,3.7,100262
Munich,2005,2006,https://letterboxd.com/film/munich/,3.8,127938
Babel,2006,2007,https://letterboxd.com/film/babel-2006/,3.7,191627
