,film,year_film,year_ceremony
0,Chocolat,2000,2001
1,"Crouching Tiger, Hidden Dragon",2000,2001
2,Erin Brockovich,2000,2001
3,Gladiator,2000,2001
4,Traffic,2000,2001
5,A Beautiful Mind,2001,2002
6,Gosford Park,2001,2002
7,In the Bedroom,2001,2002
8,The Lord of the Rings: The Fellowship of the Ring,2001,2002
9,Moulin Rouge,2001,2002
10,Chicago,2002,2003
11,Gangs of New York,2002,2003
12,The Hours,2002,2003
13,The Lord of the Rings: The Two Towers,2002,2003
14,The Pianist,2002,2003
15,The Lord of the Rings: The Return of the King,2003,2004
16,Lost in Translation,2003,2004
17,Master and Commander: The Far Side of the World,2003,2004
18,Mystic River,2003,2004
19,Seabiscuit,2003,2004
20,The Aviator,2004,2005
21,Finding Neverland,2004,2005
22,Million Dollar Baby,2004,2005
23,Ray,2004,2005
24,Sideways,2004,2005
25,Brokeback Mountain,2005,2006
26,Capote,2005,2006
27,Crash,2005,2006
28,"Good Night, and Good Luck.",2005,2006
29,Munich,2005,2006
30,Babel,2006,2007
31,The Departed,2006,2007
32,Letters from Iwo Jima,2006,2007
33,Little Miss Sunshine,2006,2007
34,The Queen,2006,2007
35,Atonement,2007,2008
36,Juno,2007,2008
37,Michael Clayton,2007,2008
38,No Country for Old Men,2007,2008
39,There Will Be Blood,2007,2008
40,The Curious Case of Benjamin Button,2008,2009
41,Frost/Nixon,2008,2009
42,Milk,2008,2009
43,The Reader,2008,2009
44,Slumdog Millionaire,2008,2009
45,Avatar,2009,2010
46,The Blind Side,2009,2010
47,District 9,2009,2010
48,An Education,2009,2010
49,The Hurt Locker,2009,2010
50,Inglourious Basterds,2009,2010
51,Precious: Based on the Novel 'Push' by Sapphire,2009,2010
52,A Serious Man,2009,2010
53,Up,2009,2010
54,Up in the Air,2009,2010
55,Black Swan,2010,2011
56,The Fighter,2010,2011
57,Inception,2010,2011
58,The Kids Are All Right,2010,2011
59,The King's Speech,2010,2011
60,127 Hours,2010,2011
61,The Social Network,2010,2011
62,Toy Story 3,2010,2011
63,True Grit,2010,2011
64,Winter's Bone,2010,2011
65,The Artist,2011,2012
66,The Descendants,2011,2012
67,Extremely Loud & Incredibly Close,2011,2012
68,The Help,2011,2012
69,Hugo,2011,2012
70,Midnight in Paris,2011,2012
71,Moneyball,2011,2012
72,The Tree of Life,2011,2012
73,War Horse,2011,2012
74,Amour,2012,2013
75,Argo,2012,2013
76,Beasts of the Southern Wild,2012,2013
77,Django Unchained,2012,2013
78,Les Misérables,2012,2013
79,Life of Pi,2012,2013
80,Lincoln,2012,2013
81,Silver Linings Playbook,2012,2013
82,Zero Dark Thirty,2012,2013
83,American Hustle,2013,2014
84,Captain Phillips,2013,2014
85,Dallas Buyers Club,2013,2014
86,Gravity,2013,2014
87,Her,2013,2014
88,Nebraska,2013,2014
89,Philomena,2013,2014
90,12 Years a Slave,2013,2014
91,The Wolf of Wall Street,2013,2014
92,American Sniper,2014,2015
93,Birdman or (The Unexpected Virtue of Ignorance),2014,2015
94,Boyhood,2014,2015
95,The Grand Budapest Hotel,2014,2015
96,The Imitation Game,2014,2015
97,Selma,2014,2015
98,The Theory of Everything,2014,2015
99,Whiplash,2014,2015
100,The Big Short,2015,2016
101,Bridge of Spies,2015,2016
102,Brooklyn,2015,2016
103,Mad Max: Fury Road,2015,2016
104,The Martian,2015,2016
105,The Revenant,2015,2016
106,Room,2015,2016
107,Spotlight,2015,2016
108,Arrival,2016,2017
109,Fences,2016,2017
110,Hacksaw Ridge,2016,2017
